stream,sampling_date,deposition,spc_upstream_uS_cm,spc_downstream_uS_cm,ca_upstream_mgL,ca_downstream_mgL,ca_mass_transfer_mgL,reach_length_m,water_velocity_m_s,discharge_L_s,width_m,depth_m,reach_area_m2,reaction_time_min,precipitation_rate_mgCa_m2_s
RA,8/4/23,Active ,NA,462,80.5,80.1,-0.4,206,0.0302,483.13,9.46,1.68,1948.76,113.25,-5.949940839
RT,8/3/23,Non-active,NA,344,46,50.9,4.9,465,0.352272727,2982.766288,7.1375,1.65,3318.9375,22,367.3073505
CC,8/2/23,Non-active,327,333,46.8,47.7,0.9,286,0.4056,264.2465,3.1067,3.15,888.5076,10.83,261.4819945
RC,8/10/23,Active ,369,367,48.1,47.7,-0.4,340,0.164251208,224.7385448,7.86,0.75,1180,35.41,-8.507236182
CB,8/31/23,Non-active,NA,326,42,42.4,0.4,152,0.1688,470.4106902,7.75,1.26,1255.5,15,33.648
CD,9/11/23,Active ,NA,399.08,69.7,64.1,-5.6,52,0.039097744,34.31344377,5.5,0.7,285.6533333,15,-261.0025578
SR,10/11/23,Active ,421.91,NA,50,39.6,-10.4,72,0.070588235,4.520336232,2,0.08,144,17,-49.93051134
RC,10/7/23,Active ,NA,328.08,43.5,43.1,-0.4,150,0.189873418,462.8446031,7.86,0.8,2674.66,13.16,-24.21142429
CB,10/8/23,Non-active,368.4,344.64,42.7,43.1,0.4,162,0.081,341.2633,7.75,1.31,1178,33.3,15.6996997
CD,10/9/23,Active ,416.7,390.76,66.6,65.8,-0.8,52,0.057777778,114.8912235,5.5,2.34,285.6533333,22.16667,-84.48119993
CC,10/6/23,Non-active,337.1,336.5,44.6,45,0.4,184,0.1393,204.4597,3.1067,0.94,571.6267,22,17.1686646
RA,10/5/23,Active ,464.4,430.98,69.6,69.3,-0.3,137,0.026245211,200.9507216,9.46,1.58,1420,87,-5.448275862