stream,sampling_date,deposition,reach_section,specific_conductivity_uS_cm,calcium_concentration_mg_L
RA,8/4/23,Active ,Upstream,NA,80.5
RT,8/3/23,Non-active,Upstream,NA,50.9
RC,8/10/23,Active ,Upstream,369,47.7
CB,8/31/23,Non-active,Upstream,NA,42
CD,9/11/23,Active ,Upstream,NA,69.7
SR,10/11/23,Active ,Upstream,421.91,50
RC,10/7/23,Active ,Upstream,NA,43.1
CD,10/9/23,Active ,Upstream,416.7,65.8
CC,10/6/23,Non-active,Upstream,337.1,44.6
RA,10/5/23,Active ,Upstream,464.4,69.6
RA,8/4/23,Active ,Downstream,462,80.1
RT,8/3/23,Non-active,Downstream,344,46
CC,8/2/23,Non-active,Downstream,333,46.8
RC,8/10/23,Active ,Downstream,367,48.1
CB,8/31/23,Non-active,Downstream,326,42.4
CD,9/11/23,Active ,Downstream,399.08,64.1
SR,10/11/23,Active ,Downstream,NA,39.6
RC,10/7/23,Active ,Downstream,328.08,43.5
CB,10/8/23,Non-active,Downstream,344.64,42.7
CD,10/9/23,Active ,Downstream,390.76,66.6
CC,10/6/23,Non-active,Downstream,336.5,45
RA,10/5/23,Active ,Downstream,430.98,69.3