Sampling_Date,Stream,Deposition,Water_velocity_ms,Discharge_Ls,Stream_depth_m
2023-08-02,CC,Non_active,0.21,320.33,0.87
2023-08-02,CC,Non_active,0.41,264.25,3.15
2023-08-03,RT,Non_active,0.35,2982.77,1.65
2023-10-05,RA,Active,0.03,200.95,1.58
2023-09-06,RA,Active,0.04,195.26,0.99
2023-09-06,RA,Active,0.03,252.72,1.34
2023-10-06,CC,Non_active,0.14,204.46,0.94
2023-09-07,CB,Non_active,0.09,365.74,1.24
2023-10-07,RC,Active,0.19,462.84,0.75
2023-10-08,CB,Non_active,0.08,341.16,1.31
2023-10-09,CD,Active,0.04,34.31,0.70
2023-10-08,RC,Active,0.16,224.74,0.80
2023-10-10,SR,Active,0.03,5.83,0.25
2023-10-09,CD,Active,0.06,114.89,2.34
2023-11-10,SR,Active,0.07,4.52,0.08
2023-09-30,RA,Active,0.09,318.57,2.11
2023-08-31,CB,Non_active,0.17,470.41,1.26