stream,deposition,velocity_m_s,discharge_L_s,depth_m,Date,gpp_mean,gpp_sd,gpp_median,er_mean,er_sd,er_median,nep_mean,nep_sd,nep_median,pr_mean,pr_sd,pr_median,k_mean,k_sd,k_median,daily_light_mol_m2,daily_temp_C,gpp_g_m2_d,gpp_g_m2_d_sd,er_g_m2_d,er_g_m2_d_sd,nep_g_m2_d,nep_g_m2_d_sd,gpp_gC_m2_d,gpp_gC_m2_d_sd,er_gC_m2_d,er_gC_m2_d_sd,gpp_molC_m2_d,gpp_molC_m2_d_sd,er_molC_m2_d,er_molC_m2_d_sd,nep_molC_m2_d
CB,Non-active,0.148829376,392.4392709,1.103058516,20230821,6.756297265,0.218157155,6.755299321,6.458297112,0.243408168,6.459164821,0.298000153,0.083779772,0.298146442,1.046432156,0.013899377,1.045872667,0.020500781,0.020162661,0.014198678,473.3578314,27.43791667,7.452591231,0.240640108,7.123879625,0.268493452,0.328711606,0.092413991,2.328841602,0.075197026,2.270736631,0.085582288,0.193908543,0.006261201,0.189070494,0.007125919,0.004838049
CB,Non-active,0.148829376,392.4392709,1.103058516,20230822,6.640986297,0.386270533,6.647348486,8.50633965,0.433064764,8.514387032,-1.865353353,0.150402695,-1.866612246,0.7805619,0.015957481,0.780412203,0.05459467,0.058183362,0.037031224,914.7116101,27.68597222,7.325396487,0.426079001,9.382990387,0.477695776,-2.0575939,0.165902973,2.289094835,0.133144362,2.990828186,0.152265529,0.19059907,0.011086125,0.249028159,0.012678229,-0.058429088
CB,Non-active,0.148829376,392.4392709,1.103058516,20230823,7.172124645,0.341063559,7.174281773,9.709647502,0.387427154,9.720120574,-2.537522858,0.131580099,-2.54178312,0.738515255,0.012317855,0.73849064,0.060371784,0.063323784,0.040970198,754.5215911,27.86013889,7.911273164,0.376213063,10.71030936,0.427354822,-2.799036197,0.145140549,2.472173973,0.117561879,3.413911109,0.136219349,0.205842962,0.009788666,0.284255713,0.011342161,-0.078412751
CB,Non-active,0.148829376,392.4392709,1.103058516,20230824,4.974697887,0.267708216,4.978962409,6.995877623,0.311203517,6.999722141,-2.021179736,0.09842212,-2.02311383,0.710874101,0.012570362,0.711225825,0.065611728,0.068906254,0.044440733,560.7431852,27.83638889,5.487382867,0.295297828,7.716862386,0.343275689,-2.22947952,0.108565357,1.714738554,0.09227688,2.459749886,0.109419126,0.1427759,0.007683337,0.204808483,0.009110668,-0.062032584
CB,Non-active,0.148829376,392.4392709,1.103058516,20230825,5.780059052,0.172843345,5.781693066,6.542451432,0.191907133,6.545445283,-0.76239238,0.067233512,-0.760606395,0.883503934,0.009281279,0.883440076,0.028620934,0.028817673,0.020077887,693.2291241,27.82708333,6.375743358,0.190656324,7.216706764,0.211684798,-0.840963407,0.074162498,1.992340103,0.059577718,2.300325281,0.067474529,0.1658901,0.004960676,0.191534162,0.005618196,-0.025644062
CB,Non-active,0.148829376,392.4392709,1.103058516,20230826,5.050098089,0.192462689,5.050909676,7.108790469,0.210937329,7.108685831,-2.05869238,0.092590618,-2.053674411,0.71030424,0.012296096,0.71088969,0.050224163,0.05247762,0.033989736,277.1587019,27.74263889,5.570553701,0.212297608,7.841411862,0.232676217,-2.270858161,0.10213287,1.7407284,0.066340349,2.499450031,0.074165544,0.144939917,0.005523759,0.208114074,0.006175316,-0.063174157
CB,Non-active,0.148829376,392.4392709,1.103058516,20230827,8.302399311,0.184506967,8.303275087,8.073762441,0.220541999,8.073750022,0.22863687,0.105960426,0.239425834,1.028535935,0.013451208,1.029714031,0.047701376,0.043652977,0.034906594,753.0268888,27.32888889,9.158032259,0.203521981,8.905832413,0.24327073,0.252199846,0.11688055,2.861770606,0.063598075,2.838734082,0.077542545,0.238282315,0.005295427,0.236364203,0.006456498,0.001918112
CC,Non-active,0.175579323,262.3960846,0.905860427,20230804,0.673085404,0.037490567,0.672156576,11.91060541,0.422010192,11.90577209,-11.23752,0.391039088,-11.22785027,0.05648873,0.001823981,0.056506679,7.75814088,0.270761938,7.753308157,539.6044815,26.25859722,0.609721431,0.033961221,10.7893461,0.382282333,-10.17962467,0.354226835,0.190530326,0.010612457,3.439104068,0.121852494,0.015864307,0.000883635,0.286353378,0.01014592,-0.270489071
CC,Non-active,0.175579323,262.3960846,0.905860427,20230805,0.791819872,0.051748462,0.787881931,13.29985339,0.57684958,13.2703642,-12.50803352,0.533926508,-12.47620194,0.059505889,0.002203502,0.059475247,8.668260836,0.370480106,8.647969379,477.4954077,26.39092361,0.717278287,0.046876884,12.04781087,0.522545207,-11.33053258,0.483662895,0.224140499,0.01464844,3.840239714,0.166561285,0.018662823,0.001219687,0.319753515,0.01386855,-0.301090692
CD,Active,0.048437761,74.60233363,1.519973797,20230912,0.66045254,0.093697343,0.656492196,7.936275033,1.046605856,7.875424684,-7.275822493,0.995656011,-7.212796705,0.083769538,0.010588462,0.083394073,6.021703961,0.829432558,5.96476037,6122.430199,25.15638889,1.003870555,0.142417507,12.0629301,1.590813478,-11.05905954,1.513371048,0.313697,0.044503691,3.845058969,0.507071796,0.02611965,0.003705553,0.320154785,0.042220799,-0.294035135
CD,Active,0.048437761,74.60233363,1.519973797,20230913,0.840401997,0.074669322,0.838110128,9.84908058,0.831275345,9.835689927,-9.008678583,0.787486363,-8.984402675,0.085540206,0.006477532,0.085518851,7.945129788,0.706600946,7.921578062,6781.474651,25.33361111,1.277389015,0.113495413,14.97034441,1.263516743,-13.69295539,1.196958638,0.3991681,0.035465898,4.77179728,0.402745962,0.033236311,0.002953031,0.397318674,0.033534218,-0.364082363
CD,Active,0.048437761,74.60233363,1.519973797,20231012,0.514918292,0.052587712,0.513725196,13.3604811,0.88541986,13.31846478,-12.84556281,0.855578147,-12.80647729,0.038555701,0.003193361,0.038539801,6.875810013,0.458557829,6.855421839,2685.208374,26.61606944,0.782662311,0.079931945,20.30758119,1.345814987,-19.52491888,1.300456364,0.244572189,0.024977734,6.473041504,0.428978527,0.020364046,0.002079745,0.538970983,0.035718445,-0.518606937
CD,Active,0.048437761,74.60233363,1.519973797,20231013,0.780104201,0.079990672,0.78033166,12.44848699,1.199705586,12.42689972,-11.66838278,1.140550093,-11.64393366,0.062780819,0.004407057,0.062680048,6.604282982,0.636650733,6.591603689,2920.023236,26.56559722,1.185737944,0.121583726,18.92137403,1.823521055,-17.73563609,1.733606256,0.370528286,0.037993395,6.031187973,0.581247336,0.030851647,0.00316348,0.502180514,0.048396947,-0.471328867
CD,Active,0.048437761,74.60233363,1.519973797,20231014,1.102966388,0.066641065,1.103162956,11.49477147,0.59620346,11.48060848,-10.39180508,0.550908962,-10.37175357,0.095998638,0.004176656,0.095982549,6.81288445,0.350823185,6.802267901,2712.070208,26.31006944,1.676480009,0.101292673,17.47175144,0.906213637,-15.79527143,0.837367187,0.523879047,0.031652694,5.569120771,0.288855597,0.043620237,0.002635528,0.463706975,0.024051257,-0.420086738
CD,Active,0.048437761,74.60233363,1.519973797,20231015,0.910618958,0.056686942,0.909960014,10.87085833,0.540387506,10.86148847,-9.960239375,0.498075672,-9.95026905,0.083774257,0.003333301,0.083833503,7.481930573,0.363981695,7.475982387,2733.757015,26.36126389,1.384116955,0.086162666,16.52341982,0.82137485,-15.13930286,0.75706197,0.432519247,0.026924756,5.266840067,0.261813233,0.03601326,0.002241861,0.438537891,0.021799603,-0.402524631
RA,Active,0.045050995,241.8765843,1.506138192,20230829,3.41764441,0.228095835,3.406870402,16.89423763,1.074101461,16.82271489,-13.47659322,0.863683875,-13.42502393,0.202308909,0.004658236,0.202386912,17.06945995,1.086555243,17.01090475,8459.69403,25.70513889,5.147444774,0.343543848,25.44505652,1.617745232,-20.29761175,1.30082727,1.608512149,0.107353158,8.110611766,0.515656293,0.13393107,0.008938648,0.675321546,0.042935578,-0.541390476
RA,Active,0.045050995,241.8765843,1.506138192,20230830,4.883864456,0.385853637,4.874501416,21.88436836,1.730315924,21.8393228,-17.00050391,1.368509889,-16.94639277,0.223234507,0.005493173,0.223326573,21.31997826,1.692466483,21.24544504,5443.78234,26.03944444,7.355774785,0.5811489,32.96088301,2.606094899,-25.60510822,2.061165011,2.298587673,0.181601767,10.50628146,0.830692749,0.191389482,0.01512088,0.874794459,0.069166757,-0.683404978
RA,Active,0.045050995,241.8765843,1.506138192,20230831,9.314694849,0.887383116,9.362003513,35.16396767,3.265547526,35.4021782,-25.84927282,2.416885626,-26.03857471,0.26491185,0.006319706,0.264936152,34.81571248,3.208415949,35.08574111,6590.81252,26.08861111,14.02921766,1.336521603,52.9617947,4.918365849,-38.93257704,3.640163748,4.383955155,0.417646294,16.88157206,1.567729114,0.365025408,0.034774879,1.405626316,0.130535313,-1.040600908
RA,Active,0.045050995,241.8765843,1.506138192,20230901,0.027893617,0.033240621,0.017860081,4.265063135,1.850291765,3.7312202,-4.237169518,1.835627921,-3.706492064,0.006463688,0.006269772,0.004536652,5.389917108,2.657749715,4.594418021,2465.137252,29.05208333,0.042011642,0.050064969,6.423774481,2.786795094,-6.381762839,2.764709319,0.013128113,0.015644677,2.047578116,0.888290936,0.001093099,0.001302638,0.170489435,0.073962609,-0.169396337
RC,Active,0.170029309,376.2587666,1.052099005,20230811,1.772502922,0.044880898,1.773268176,9.32007265,0.216961841,9.318658557,-7.547569728,0.189468563,-7.548768503,0.190208291,0.00373106,0.190196767,6.364006767,0.155013605,6.362287976,41.42633241,24.00173611,1.864848561,0.047219148,9.805639164,0.228265337,-7.940790603,0.199339687,0.582741865,0.014755394,3.125547484,0.072759576,0.048521388,0.001228592,0.260245419,0.006058249,-0.211724032
RC,Active,0.170029309,376.2587666,1.052099005,20230812,1.644112165,0.060271305,1.644370114,6.996747615,0.25284198,6.991740206,-5.35263545,0.221973374,-5.347432484,0.235101889,0.007642831,0.235054979,4.342183616,0.173420889,4.340888995,17.8341467,24.74763889,1.729768773,0.06341138,7.361271206,0.266014795,-5.631502433,0.233537966,0.540531119,0.019815264,2.346405197,0.084792216,0.045006754,0.001649897,0.195370957,0.007060135,-0.150364203
RC,Active,0.170029309,376.2587666,1.052099005,20230813,2.043008557,0.038460823,2.042807125,9.297407096,0.189561354,9.303889313,-7.254398539,0.16349691,-7.259961958,0.219769264,0.003170167,0.219671261,5.723650375,0.123069341,5.726834435,30.52547543,24.84472222,2.149447271,0.040464593,9.781792757,0.199437312,-7.632345487,0.172014936,0.671675404,0.01264468,3.117946441,0.063570643,0.055926345,0.001052846,0.259612526,0.005293143,-0.203686181
RT,Non-active,0.352272727,2982.766288,1.649135043,20230803,0.40403927,0.064801387,0.40194285,79.2910821,6.470662547,78.9439242,-78.88704283,6.437382037,-78.56203418,0.005094965,0.000699336,0.005116898,28.07625734,2.287536886,27.95054141,295.2344978,26.98529167,0.666315319,0.106866239,130.7617021,10.67099636,-130.0953868,10.61611231,0.208215208,0.033394364,41.68029255,3.40138009,0.01733682,0.002780547,3.470465658,0.283212331,-3.453128838
RT,Non-active,0.352272727,2982.766288,1.649135043,20230804,0.088238211,0.044540027,0.085369002,108.0447773,2.749194659,108.73089,-107.9565391,2.744086481,-108.6352579,0.000815894,0.000409862,0.000789687,38.81258617,0.986666469,39.0575315,231.5206264,26.95261806,0.145516726,0.07345252,178.1804285,4.533793254,-178.0349118,4.525369177,0.045472158,0.022952994,56.79501158,1.4451466,0.003786191,0.001911157,4.728976818,0.120328609,-4.725190627
RT,Non-active,0.352272727,2982.766288,1.649135043,20230805,0.271830065,0.043728748,0.270818157,98.59589734,5.180621661,97.01246991,-98.32406727,5.158086376,-96.75315899,0.002752721,0.000388108,0.002745096,35.4640473,1.860257042,34.89444835,227.3166371,26.98734722,0.448284486,0.072114611,162.5979494,8.543544728,-162.149665,8.506381001,0.140083298,0.022534915,51.82809638,2.723254882,0.011663888,0.001876346,4.315411855,0.226748949,-4.303747967
SR,Active,0.049247606,5.174908934,0.167316439,20231009,0.027822951,0.027094198,0.019777192,2.379440504,1.21122754,2.056613838,-2.351617553,1.211369308,-2.028160294,0.014714227,0.016960815,0.009322541,0.655935875,0.529041543,0.523346483,1709.229671,26.06851389,0.004655237,0.004533305,0.398119512,0.202658279,-0.393464275,0.202681999,0.001454703,0.001416601,0.126900594,0.064597326,0.000121124,0.000117952,0.010566244,0.005378628,-0.01044512
SR,Active,0.049247606,5.174908934,0.167316439,20231010,0.497378047,0.136000747,0.491037423,3.699145705,3.350029112,2.808952,-3.201767658,3.278051417,-2.327116119,0.186864039,0.095905659,0.167395975,1.016612697,1.303823113,0.664545012,3736.44928,26.05513889,0.083219524,0.022755161,0.618927887,0.560514941,-0.535708363,0.54847189,0.026005061,0.007110703,0.197283264,0.178664138,0.002165284,0.000592065,0.016426583,0.014876281,-0.014261299